tarefa,input,tecnica,resposta,tokens,tempo_ms,acuracia,temperatura
classificacao_sentimento,"Simplesmente amei, ele é lindo, um designer impecável, cameras excelentes, e a bateria aguentou 2 dias comigo. Estava com medo, pois nunca comprei nenhum eletrônico pela internet, mais me surpreendi.",zero_shot,NEUTRO,3,1882.538381,0.0,0.5
classificacao_sentimento,"Simplesmente amei, ele é lindo, um designer impecável, cameras excelentes, e a bateria aguentou 2 dias comigo. Estava com medo, pois nunca comprei nenhum eletrônico pela internet, mais me surpreendi.",few_shot,NEUTRO,3,1843.28359,0.0,0.5
classificacao_sentimento,"Simplesmente amei, ele é lindo, um designer impecável, cameras excelentes, e a bateria aguentou 2 dias comigo. Estava com medo, pois nunca comprei nenhum eletrônico pela internet, mais me surpreendi.",chain_of_thought,POSITIVO,2,1402.073831,1.0,0.5
classificacao_sentimento,"Simplesmente amei, ele é lindo, um designer impecável, cameras excelentes, e a bateria aguentou 2 dias comigo. Estava com medo, pois nunca comprei nenhum eletrônico pela internet, mais me surpreendi.",role_prompting,POSITIVO,2,1487.234991,1.0,0.5
classificacao_sentimento,Lento de mais. Não vale a pena.,zero_shot,NEGATIVO,3,950.079745,1.0,0.5
classificacao_sentimento,Lento de mais. Não vale a pena.,few_shot,NEGATIVO,3,1273.333992,1.0,0.5
classificacao_sentimento,Lento de mais. Não vale a pena.,chain_of_thought,NEGATIVO,3,1927.68428,1.0,0.5
classificacao_sentimento,Lento de mais. Não vale a pena.,role_prompting,NEGATIVO,3,1233.736846,1.0,0.5
classificacao_sentimento,"Produto veio danificado bateria descarrega rápido,fora que o produto esquenta demais, não indico a ninguém.",zero_shot,NEGATIVO,3,1096.589243,1.0,0.5
classificacao_sentimento,"Produto veio danificado bateria descarrega rápido,fora que o produto esquenta demais, não indico a ninguém.",few_shot,NEGATIVO,3,1274.101106,1.0,0.5
classificacao_sentimento,"Produto veio danificado bateria descarrega rápido,fora que o produto esquenta demais, não indico a ninguém.",chain_of_thought,NEGATIVO,3,1177.660538,1.0,0.5
classificacao_sentimento,"Produto veio danificado bateria descarrega rápido,fora que o produto esquenta demais, não indico a ninguém.",role_prompting,NEGATIVO,3,1736.461295,1.0,0.5
classificacao_sentimento,"Mixuruca, mas pelo valor até que tá ok.",zero_shot,NEGATIVO,3,960.486176,0.0,0.5
